id,module,question,option_a,option_b,option_c,option_d,correct
216,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,Google Chrome là gì?,1 chuẩn mạng cục bộ,Trình duyệt web,Bộ giao thức,Thiết bị kết nối các mạng trên Internet,B
217,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,Opera là gì?,Trình duyệt web,1 chuẩn mạng cục bộ,Bộ giao thức,Thiết bị kết nối các mạng trên Internet,A
218,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,Chương trình được sử dụng để xem các trang Web được gọi là gì?,Trình duyệt Web,Bộ duyệt Web,Chương trình xem Web,Phần mềm xem Web,A
219,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,"Để xem một trang Web, ta cần gõ địa chỉ của trang đó vào đâu?",Thanh công cụ chuẩn của trình duyệt,Thanh địa chỉ của trình duyệt,Thanh liên kết của trình duyệt,Thanh trạng thái của trình duyệt,B
220,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,"Muốn  xem được  trang  web, máy tính của bạn cần phải cài đặt",Outlook  Express,Một chương  trình  duyệt  web,MS-FronPage,MS-Word,B
221,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,Phần mềm nào sau đây không phải là trình duyệt Web,Internet Explorer,FireBug,Firefox,Chromium,B
222,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,Phát biểu nào sau là đúng về Mozilla Firefox và Chromium 50  0. Chỉ có Mozilla Firefox là trình duyệt web,Chỉ có Chromium là trình duyệt web,Mozilla Firefox và Chromium là các trình duyệt web,Mozila Firefox là trình duyệt web còn Chromium là phần mềm tìm kiếm,,B
223,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,Nút nào trên thanh công cụ của trình duyệt web cho phép bạn tìm kiếm thông tin trên WWW?,Home,Search,Refresh,Next,B
224,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,Tường lửa là gì?,Một hệ thống được xây dựng để đảm bảo an ninh cho công ty,Tường lửa là một thiết bị phần cứng và/hoặc một phần mềm hoạt động trong một môi trường má y tính nối mạng có mục đích chống lại sự xâm nhập trái phép từ Internet,Một hệ thống báo cháy,Một hệ thống bảo mật thông tin,B
225,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,Dấu hiệu nhận biết một website an toàn?,"Giao diện đẹp, chức năng và menu có sắp thứ tự",Sử dụng giao thức bảo mật để truyền tải nội dung,Có logo chứng nhận bảo mật trên website,Có địa chỉ công ty xây dựng website,B
226,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,"Trình duyệt web không thể hiển thị trang web yêu cầu, có thể do:",Địa chỉ truy cập không tồn tại hoặc địa chỉ truy cập bị nhà quản trị mạng ngăn không cho truy cập,Địa chỉ truy cập không nằm trên máy chủ của Việt Nam,Địa chỉ truy cập không được lưu vào bộ nhớ đệm của trình duyệt,Địa chỉ truy cập là một trang web cá nhân,A
227,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,Phát biểu nào dưới đây là sai?,Mở nhiều cửa sổ duyệt web cho nhiều địa chỉ web khác nhau.,"Vừa mở cửa sổ duyệt web, vừa chơi game trong lúc chờ trang web xuất hiện đầy đủ nội dung.",Nhấn nút BACK để đóng cửa sổ duyệt Web.,Nhấn nút REFRESH là để bắt đầu lại quá trình tải trang web từ máy phục vụ về máy cá nhân của người dùng.,C
228,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,Các thành phần của tên miền được phân cách bằng ký tự gì?,Dấu “.”,"Dấu “,”",Dấu “#”,"Dấu "";""",A
229,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,Để truy cập vào một trang Web chúng ta cần phải biết:,Địa chỉ của trang web,Hệ điều hành đang sử dụng,Trang web đó của nước nào,Tất cả đều sai,A
230,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,Để truy cập vào một Website ta phải biết,IP của của máy tính,Tên miền của Website đó,Website đó được đặt tại máy chủ nào,Tất cả đều sai,B
231,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,Địa chỉ nào không phải là địa chỉ trang web?,www.laodong.com.vn,ngoisao.net,ninhbinh@yahoo.com,mail.yahoo.com,C
232,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,"Trong Internet Explorer phiên bản 7 hoặc mới hơn, phím tắt để thêm một Tab?",Ctrl+T,Ctrl+N,Alt+N,Alt+H,A
233,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,"Trong Internet Explorer phiên bản 7 hoặc mới hơn, phím tắt chuyển đến Tab liền kề bên trái?",Ctrl+Shift+Tab,Ctrl+Tab,Alt+Tab,Alt+Shift+Tab,A
234,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,"Trong Internet Explorer phiên bản 7 hoặc mới hơn, phím tắt chuyển đến Tab liền kề bên phải?",Ctrl+Shift+Tab,Alt+Tab,Ctrl+Tab,Alt+Shift+Tab,C
235,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,"Internet Explorer phiên bản 7 hoặc mới hơn, phím tắt Ctrl + Tab dùng để làm gì?",Chuyển đến Tab liền kề bên phải,Thêm 1 tab mới,Trở về trang chủ,Thoát khỏi trình duyệt web,A
236,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,"Trong Internet Explorer phiên bản 7 hoặc mới  hơn, phím tắt để đóng một Tab?",Ctrl+Q,Ctrl+W,Ctrl+C,Ctrl+F4,B
237,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,"Trong Internet Explorer phiên bản 7 hoặc mới hơn, phím tắt Ctrl + W dùng để làm gì?",Thêm 1 tab mới,Trở về trang chủ,Thoát khỏi trình duyệt web,Xóa 1 tab,D
238,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,Nút nào trên thanh công cụ của trình duyệt web cho phép tải lại một trang web?,Home,Back,Next,Refresh,D
239,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,Nút Refresh trên thanh công cụ của trình duyệt Web cho phép?,Tải lại một trang web,Đi đến một trang web khác,Trở về trang chủ,Thoát khỏi trình duyệt web,A
240,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,"Để ngừng tải nội dung một trang Web từ máy chủ, kích chuột tại nút nào sau đây trong cửa sổ trình duyệt?",Stop,Disconnect,End,Start ÔN TẬP  PHẦN  THI THỰC  HÀNH Phần  1: Windows,A
